,Rating,Review Date,Location,Username,Review,Fit Feedback,Comfort Feedback,Recommend Feedback,title,IsPromoReview,subtitle,colorDescription,fullPrice,discounted,employeePrice,currentPrice,isLaunch,pid,label
1580,5,"Nov 19, 2022",Fargo North Dakota,Location,"Nice product
Very nice product and beautiful colors i really love it
Gbaway Karlor
Nov 19, 2022
Location
Fargo North Dakota
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1581,5,"Nov 19, 2022",Fargo North Dakota,Location,"Nice product
Very nice product and beautiful colors i really love it
Gbaway Karlor
Nov 19, 2022
Location
Fargo North Dakota
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1582,5,"Nov 19, 2022",Fargo North Dakota,Location,"Nice product
Very nice product and beautiful colors i really love it
Gbaway Karlor
Nov 19, 2022
Location
Fargo North Dakota
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1583,5,"Nov 19, 2022",Fargo North Dakota,Location,"Nice product
Very nice product and beautiful colors i really love it
Gbaway Karlor
Nov 19, 2022
Location
Fargo North Dakota
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1584,5,"Nov 19, 2022",Fargo North Dakota,Location,"Nice product
Very nice product and beautiful colors i really love it
Gbaway Karlor
Nov 19, 2022
Location
Fargo North Dakota
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1585,5,"Nov 18, 2022",Atlanta,Location,"Love, love, love!
The shoe is very comfortable and the color is very vibrant. I’m in love.
Nicole Y
Nov 18, 2022
Location
Atlanta
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1586,5,"Nov 18, 2022",Atlanta,Location,"Love, love, love!
The shoe is very comfortable and the color is very vibrant. I’m in love.
Nicole Y
Nov 18, 2022
Location
Atlanta
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1587,5,"Nov 18, 2022",Atlanta,Location,"Love, love, love!
The shoe is very comfortable and the color is very vibrant. I’m in love.
Nicole Y
Nov 18, 2022
Location
Atlanta
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1588,5,"Nov 18, 2022",Atlanta,Location,"Love, love, love!
The shoe is very comfortable and the color is very vibrant. I’m in love.
Nicole Y
Nov 18, 2022
Location
Atlanta
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1589,5,"Nov 18, 2022",Atlanta,Location,"Love, love, love!
The shoe is very comfortable and the color is very vibrant. I’m in love.
Nicole Y
Nov 18, 2022
Location
Atlanta
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
